Bearing_No,Rotational_Velocity ,Radial_Load,Axial_Load,Dynamic_Load_Rating,Satic_Load_Ratimg,Limitng_speed,Shaft_Diameter,Bearing_outside_Diameter,Bearing_Width,MIN_Deformation,MAX_Deformation,AVG_Deformation,Deformation_On_Ball_MIN,Deformation_On_Ball_MAX,Deformation_On_Ball_AVG,MIN_Stress,MAX_Stress,AVG_Stress,Stress_On_Ball_MIN,Stress_On_Ball_MAX,Stress_On_Ball_AVG,Frictional_Stress_MIN,Frictional_Stress_MAX,Frictional_Stress_AVG,MIN_Pressure,MAX_Pressure,AVG_Pressure,,,
6003,20435.35,-587.65,249.76,6000,3250,26000,17,35,10,1.91E-10,0.37862,8.78E-02,1.91E-10,0.37862,8.78E-02,4.56E-15,33.037,0.37929,0.15475,30.201,3.688,0,5.9817,2.32E-02,0,59.817,0.25199,,,
6003,20759.7,-597.27,253.76,6000,3250,26000,17,35,10,2.92E-24,0.37469,7.24E-02,2.92E-24,0.37469,7.24E-02,0,32.159,0.37204,0.14396,28.687,3.4463,0,5.8713,2.22E-02,0,58.713,0.23755,,,
6003,21084.05,-606.89,257.75,6000,3250,26000,17,35,10,2.57E-13,0.38212,6.71E-02,2.57E-13,0.38212,6.71E-02,1.32E-17,4.0214,0.11134,0.15349,30.241,3.6868,0,0.21657,2.29E-04,0,2.1657,2.50E-03,,,
6003,21408.4,-616.5,261.75,6000,3250,26000,17,35,10,1.53E-10,0.23327,4.53E-02,1.53E-10,0.23327,4.53E-02,7.88E-15,4.086,0.11438,0.15478,30.333,3.7034,0,0.12233,2.32E-04,0,1.2233,2.44E-03,,,
6003,21732.75,-626.12,265.74,6000,3250,26000,17,35,10,1.59E-14,0.16924,4.29E-02,1.59E-14,0.16924,4.29E-02,4.87E-19,4.1506,0.11479,0.14632,28.911,3.4943,0,9.69E-02,1.10E-04,0,1.2317,1.33E-03,,,
6003,22057.1,-635.74,269.74,6000,3250,26000,17,35,10,2.15E-10,0.97052,8.26E-02,2.15E-10,0.97052,8.26E-02,5.49E-15,4.2152,0.12639,0.13761,26.595,3.1957,0,0.46586,1.43E-03,0,5.214,1.77E-02,,,
6003,22381.45,-645.35,273.73,6000,3250,26000,17,35,10,2.03E-10,0.9112,7.56E-02,2.03E-10,0.9112,7.56E-02,5.87E-15,4.2798,0.12079,0.14934,28.991,3.5384,0,8.06E-02,1.89E-04,0,2.1674,4.72E-03,,,
6003,22705.8,-654.97,277.73,6000,3250,26000,17,35,10,7.79E-12,0.81424,6.42E-02,7.79E-12,0.81424,6.42E-02,1.11E-15,4.3443,0.1199,0.15613,30.184,3.7114,0,0.26243,1.39E-04,0,2.6243,1.40E-03,,,
6003,23030.15,-664.59,281.73,6000,3250,26000,17,35,10,7.38E-12,0.59616,4.78E-02,7.38E-12,0.59616,4.78E-02,3.31E-16,4.4089,0.12238,0.15494,30.182,3.6891,0,0.28739,6.29E-04,0,2.8739,6.29E-03,,,
6003,23354.5,-674.21,285.72,6000,3250,26000,17,35,10,7.08E-13,0.11433,2.17E-02,7.08E-13,0.11433,2.17E-02,2.37E-16,6.1374,0.13692,0.14429,28.699,3.4509,0,0.92445,1.82E-03,0,9.2445,1.96E-02,,,
6003,23678.85,-683.82,289.72,6000,3250,26000,17,35,10,1.33E-11,0.96897,0.12309,1.33E-11,0.96897,0.12309,8.84E-16,4.5381,0.13342,0.15386,30.249,3.6906,0,0.54085,1.31E-03,0,6.1981,1.36E-02,,,
6003,24003.2,-693.44,293.71,6000,3250,26000,17,35,10,1.41E-11,0.96431,0.12804,1.41E-11,0.96431,0.12804,7.47E-16,4.6026,0.12841,0.15505,30.334,3.7056,0,0.93424,8.10E-04,0,9.3424,8.25E-03,,,
6003,24327.55,-703.06,297.71,6000,3250,26000,17,35,10,1.02E-15,0.96399,0.12806,1.02E-15,0.96399,0.12806,3.93E-20,4.6672,0.12995,0.1464,28.902,3.4943,0,1.37E-02,1.01E-05,0,0.13741,1.01E-04,,,
6003,24651.9,-712.68,301.71,6000,3250,26000,17,35,10,1.15E-19,1.2571,0.1371,1.15E-19,1.2571,0.1371,0,4.7318,0.13325,0.13761,26.578,3.1947,0,1.8543,5.70E-03,0,18.543,5.70E-02,,,
6003,24976.25,-722.29,305.7,6000,3250,26000,17,35,10,6.51E-13,1.2548,0.13688,6.51E-13,1.2548,0.13688,5.45E-17,4.7964,0.13888,0.14937,28.971,3.5375,0,0.51423,1.12E-03,0,6.2217,1.48E-02,,,
6003,25300.6,-731.91,309.7,6000,3250,26000,17,35,10,2.26E-13,1.2492,0.13333,2.26E-13,1.2492,0.13333,2.69E-18,4.8609,0.13446,0.15622,30.17,3.7111,0,4.97E-02,6.40E-05,0,1.0612,1.26E-03,,,
6003,25624.95,-741.53,313.69,6000,3250,26000,17,35,10,5.82E-18,1.2473,0.13499,5.82E-18,1.2473,0.13499,0,4.9255,0.13594,0.15514,30.168,3.6899,0,4.38E-02,4.76E-05,0,0.68913,7.38E-04,,,
6003,25949.3,-751.14,317.69,6000,3250,26000,17,35,10,8.66E-24,1.2362,0.1263,8.66E-24,1.2362,0.1263,0,4.9901,0.13741,0.14447,28.688,3.4525,0,2.09E-02,1.53E-05,0,0.2088,1.53E-04,,,
